,Nombre del Artista,Nombre del Género,Cantidad ganada,Nivel
95,Mötley Crüe,Metal,6.930000000000001,Bajo
96,Marcos Valle,Latin,6.930000000000001,Bajo
97,JET,Alternative & Punk,6.930000000000001,Bajo
98,Def Leppard,Rock,6.930000000000001,Bajo
99,Buddy Guy,Blues,6.930000000000001,Bajo
100,Alice In Chains,Rock,6.930000000000001,Bajo
101,Vinícius De Moraes,Latin,5.94,Bajo
102,Velvet Revolver,Rock,5.94,Bajo
103,Rush,Rock,5.94,Bajo
104,Mônica Marianno,World,5.94,Bajo
105,Motörhead,Metal,5.94,Bajo
106,João Suplicy,World,5.94,Bajo
107,Jota Quest,Latin,5.94,Bajo
108,Jorge Ben,Latin,5.94,Bajo
109,Ed Motta,Latin,5.94,Bajo
110,BackBeat,Rock And Roll,5.94,Bajo
111,"Terry Bozzio, Tony Levin & Steve Stevens",Rock,4.95,Bajo
112,Scorpions,Rock,4.95,Bajo
113,Paul D'Ianno,Rock,4.95,Bajo
114,Marillion,Rock,4.95,Bajo
115,Cláudio Zoli,Latin,4.95,Bajo
116,Accept,Rock,4.95,Bajo
117,Aquaman,TV Shows,3.98,Bajo
118,The Doors,Rock,3.96,Bajo
119,Temple of the Dog,Alternative,3.96,Bajo
120,Pink Floyd,Rock,3.96,Bajo
121,Joe Satriani,Rock,3.96,Bajo
122,Frank Zappa & Captain Beefheart,Rock,3.96,Bajo
123,Dennis Chambers,Jazz,3.96,Bajo
124,Chris Cornell,Alternative,3.96,Bajo
125,Billy Cobham,Jazz,3.96,Bajo
126,Apocalyptica,Metal,3.96,Bajo
127,Michael Tilson Thomas & San Francisco Symphony,Classical,2.9699999999999998,Bajo
128,Eugene Ormandy,Classical,1.98,Bajo
129,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",Classical,1.98,Bajo
130,Emerson String Quartet,Classical,1.98,Bajo
131,Chicago Symphony Orchestra & Fritz Reiner,Classical,1.98,Bajo
132,Berliner Philharmoniker & Herbert Von Karajan,Classical,1.98,Bajo
133,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",Classical,1.98,Bajo
134,Yo-Yo Ma,Classical,0.99,Bajo
135,Yehudi Menuhin,Classical,0.99,Bajo
136,The Posies,Rock,0.99,Bajo
137,The King's Singers,Classical,0.99,Bajo
138,The 12 Cellists of The Berlin Philharmonic,Classical,0.99,Bajo
139,Sir Georg Solti & Wiener Philharmoniker,Classical,0.99,Bajo
140,Scholars Baroque Ensemble,Classical,0.99,Bajo
141,Royal Philharmonic Orchestra & Sir Thomas Beecham,Classical,0.99,Bajo
142,"Roger Norrington, London Classical Players",Classical,0.99,Bajo
143,Philharmonia Orchestra & Sir Neville Marriner,Classical,0.99,Bajo
144,Otto Klemperer & Philharmonia Orchestra,Classical,0.99,Bajo
145,Orchestra of The Age of Enlightenment,Classical,0.99,Bajo
146,Michele Campanella,Classical,0.99,Bajo
147,Maurizio Pollini,Classical,0.99,Bajo
148,Martin Roscoe,Classical,0.99,Bajo
149,Luciana Souza/Romero Lubambo,Latin,0.99,Bajo
150,Kent Nagano and Orchestre de l'Opéra de Lyon,Classical,0.99,Bajo
151,Julian Bream,Classical,0.99,Bajo
152,Habib Koité and Bamada,World,0.99,Bajo
153,Göteborgs Symfoniker & Neeme Järvi,Classical,0.99,Bajo
154,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",Classical,0.99,Bajo
155,English Concert & Trevor Pinnock,Classical,0.99,Bajo
156,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",Classical,0.99,Bajo
157,Edo de Waart & San Francisco Symphony,Classical,0.99,Bajo
158,Dread Zeppelin,Rock,0.99,Bajo
159,Calexico,Alternative,0.99,Bajo
160,Berliner Philharmoniker & Hans Rosbaud,Classical,0.99,Bajo
161,Antal Doráti & London Symphony Orchestra,Classical,0.99,Bajo
162,Adrian Leaper & Doreen de Feis,Classical,0.99,Bajo
163,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Classical,0.99,Bajo
164,Academy of St. Martin in the Fields & Sir Neville Marriner,Classical,0.99,Bajo
