,Name,Cantidad ganada
104,Mônica Marianno,5.94
105,Motörhead,5.94
106,João Suplicy,5.94
107,Jota Quest,5.94
108,Jorge Ben,5.94
109,Ed Motta,5.94
110,BackBeat,5.94
111,"Terry Bozzio, Tony Levin & Steve Stevens",4.95
112,Scorpions,4.95
113,Paul D'Ianno,4.95
114,Marillion,4.95
115,Cláudio Zoli,4.95
116,Accept,4.95
117,Aquaman,3.98
118,The Doors,3.96
119,Temple of the Dog,3.96
120,Pink Floyd,3.96
121,Joe Satriani,3.96
122,Frank Zappa & Captain Beefheart,3.96
123,Dennis Chambers,3.96
124,Chris Cornell,3.96
125,Billy Cobham,3.96
126,Apocalyptica,3.96
127,Michael Tilson Thomas & San Francisco Symphony,2.9699999999999998
128,Eugene Ormandy,1.98
129,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1.98
130,Emerson String Quartet,1.98
131,Chicago Symphony Orchestra & Fritz Reiner,1.98
132,Berliner Philharmoniker & Herbert Von Karajan,1.98
133,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1.98
134,Yo-Yo Ma,0.99
135,Yehudi Menuhin,0.99
136,The Posies,0.99
137,The King's Singers,0.99
138,The 12 Cellists of The Berlin Philharmonic,0.99
139,Sir Georg Solti & Wiener Philharmoniker,0.99
140,Scholars Baroque Ensemble,0.99
141,Royal Philharmonic Orchestra & Sir Thomas Beecham,0.99
142,"Roger Norrington, London Classical Players",0.99
143,Philharmonia Orchestra & Sir Neville Marriner,0.99
144,Otto Klemperer & Philharmonia Orchestra,0.99
145,Orchestra of The Age of Enlightenment,0.99
146,Michele Campanella,0.99
147,Maurizio Pollini,0.99
148,Martin Roscoe,0.99
149,Luciana Souza/Romero Lubambo,0.99
150,Kent Nagano and Orchestre de l'Opéra de Lyon,0.99
151,Julian Bream,0.99
152,Habib Koité and Bamada,0.99
153,Göteborgs Symfoniker & Neeme Järvi,0.99
154,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",0.99
155,English Concert & Trevor Pinnock,0.99
156,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",0.99
157,Edo de Waart & San Francisco Symphony,0.99
158,Dread Zeppelin,0.99
159,Calexico,0.99
160,Berliner Philharmoniker & Hans Rosbaud,0.99
161,Antal Doráti & London Symphony Orchestra,0.99
162,Adrian Leaper & Doreen de Feis,0.99
163,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",0.99
164,Academy of St. Martin in the Fields & Sir Neville Marriner,0.99
